Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Author_LabelEncoded,Surname,First Names,ISBN Label Encoded,ISBN13 Label Encoded,Publisher_Frequency,Binding_Audible Audio,Binding_Audiobook,Binding_Board Book,Binding_Comic,Binding_Hardcover,Binding_Kindle Edition,Binding_Library Binding,Binding_Mass Market Paperback,Binding_Paperback,Binding_ebook,Bookshelves_Frequency,Exclusive_Shelf_currently-reading,Exclusive_Shelf_read,Exclusive_Shelf_to-read,Exclusive_Shelf_Frequency,Spoiler_False,Spoiler_True,Spoiler_False.1,Spoiler_True.1,My_Review_False,My_Review_True,Spoiler_False.2,Spoiler_True.2,My Rating_outlier,Average Rating_outlier,Number of Pages_outlier,Year Published_outlier,Original Publication Year_outlier
61067597,Our Hideous Progeny,C.E. McGill,"McGill, C.E.",{},857529048,9780860000000.0,0,3.99,Doubleday,Hardcover,400.0,2023.0,2023.0,2021-01-01,2023-05-27,to-read,to-read (#163),to-read,False,False,False,0,0,29,McGill, C.E.,256,36,3,0,0,0,0,1,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
2571920,"Berserk, Vol. 22",Kentaro Miura,"Miura, Kentaro",{},1593078633,9781590000000.0,5,4.67,Dark Horse Manga,Paperback,224.0,2008.0,2001.0,2023-05-25,2023-05-25,"fantasy, gothic, horror-thriller, manga","fantasy (#93), gothic (#26), horror-thriller (#30), manga (#38)",read,True,False,False,1,0,125,Miura, Kentaro,86,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,0,1,1,0,False,False,False,False,False
54591785,"A Senhora do Lago - Parte I (The Witcher, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",{'Olga Bagińska-Shinzat': 1.0},,9789900000000.0,4,4.19,Saída de Emergência,Paperback,336.0,2020.0,1999.0,2023-05-31,2023-05-08,"fantasy, novel","fantasy (#92), novel (#3)",read,False,False,False,1,0,10,Sapkowski, Andrzej,301,89,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
2001695,"Berserk, Vol. 21",Kentaro Miura,"Miura, Kentaro",{},1593077467,9781590000000.0,5,4.66,Dark Horse Manga,Paperback,240.0,2008.0,2001.0,2023-05-05,2023-05-04,"fantasy, gothic, horror-thriller, manga","fantasy (#85), gothic (#6), horror-thriller (#27), manga (#35)",read,False,False,False,1,0,125,Miura, Kentaro,85,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
1898914,"Berserk, Vol. 20",Kentaro Miura,"Miura, Kentaro",{},1593077459,9781590000000.0,5,4.64,Dark Horse Manga,Paperback,229.0,2007.0,2000.0,2023-05-02,2023-05-02,"fantasy, gothic, horror-thriller, manga","fantasy (#84), gothic (#5), horror-thriller (#26), manga (#34)",read,False,False,False,1,0,125,Miura, Kentaro,84,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
248868,"Berserk, Vol. 16",Kentaro Miura,"Miura, Kentaro",{},1593077068,9781590000000.0,5,4.57,Dark Horse Manga,Paperback,234.0,2007.0,1998.0,2023-04-24,2023-04-26,"fantasy, horror-thriller, manga, gothic","fantasy (#80), horror-thriller (#22), manga (#30), gothic (#10)",read,False,False,False,1,0,125,Miura, Kentaro,82,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
248885,"Berserk, Vol. 17",Kentaro Miura,"Miura, Kentaro",{},1593077424,9781590000000.0,5,4.6,Dark Horse Manga,Paperback,240.0,2007.0,1999.0,2023-04-27,2023-04-26,"fantasy, horror-thriller, manga, gothic","fantasy (#81), horror-thriller (#23), manga (#31), gothic (#9)",read,False,False,False,1,0,125,Miura, Kentaro,83,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
29538426,"Berserk, Volume 18 (Berserk Meio-Tanko, #18)",Kentaro Miura,"Miura, Kentaro",{'Drik Sada': 1.0},,,5,4.85,Panini Comics,Paperback,128.0,2006.0,2007.0,2023-04-27,2023-04-26,"fantasy, horror-thriller, manga, gothic","fantasy (#82), horror-thriller (#24), manga (#32), gothic (#8)",read,False,False,False,1,0,125,Miura, Kentaro,301,92,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
708895,"Berserk, Volumen 19 (Berserk, #19)",Kentaro Miura,"Miura, Kentaro",{},8496432394,9788500000000.0,5,4.63,MangaLine Ediciones,Paperback,240.0,2007.0,2000.0,2023-04-27,2023-04-26,"fantasy, manga, horror-thriller, gothic","fantasy (#83), manga (#33), horror-thriller (#25), gothic (#7)",read,False,False,False,1,0,125,Miura, Kentaro,249,81,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
248867,"Berserk, Vol. 14",Kentaro Miura,"Miura, Kentaro",{},1593075014,9781590000000.0,5,4.57,Dark Horse Manga,Paperback,240.0,2006.0,1997.0,2023-04-12,2023-04-23,"fantasy, horror-thriller, manga, gothic","fantasy (#78), horror-thriller (#20), manga (#28), gothic (#12)",read,False,False,False,1,0,125,Miura, Kentaro,80,56,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
