Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,006441034X,9780060000000.0,5,4.29,Harper Trophy,Mass Market Paperback,329.0,2001.0,1986.0,2023-01-04,2023-01-04,"fantasy, novel","fantasy (#69), novel (#2)",read,True,True,False,1,1
60102777,The Hidden Case of Ewan Forbes: The Transgender Trial that Threatened to Upend the British Establishment,Zoë Playdon,"Playdon, Zoë",,152661913X,9781530000000.0,0,4.06,Bloomsbury Publishing,Hardcover,0.0,2021.0,2021.0,2021-01-01,2023-01-02,to-read,to-read (#131),to-read,False,False,False,0,0
55276456,"魔法使いの嫁 15 (Mahōtsukai no yome, #15)",Kore Yamazaki,"Yamazaki, Kore",ヤマザキコレ,4800010551,9784800000000.0,3,4.11,マッグガーデン,Paperback,272.0,2021.0,2007.0,2023-01-01,2023-01-01,"fantasy, manga, mystery","fantasy (#68), manga (#14), mystery (#5)",read,True,False,False,1,0
2463824,Magic and Witchcraft in Scotland,Joyce Miller,"Miller, Joyce",,1899874461,9781900000000.0,0,3.35,Goblinshead,Paperback,164.0,2004.0,2004.0,2021-01-01,2023-01-01,to-read,to-read (#130),to-read,False,False,False,0,0
59827574,"Witchcraft for Beginners: Secrets of Celtic Wicca, Scottish Magick, Irish Pagan Beliefs, Moon Spells, Herbal Magic, Crystals, and Wiccan Rituals (Spiritual Witchcraft)",Mari Silva,"Silva, Mari",,,,0,4.1,Dark Horse Manga,Kindle Edition,135.0,2021.0,2007.0,2021-01-01,2023-01-01,to-read,to-read (#129),to-read,False,False,False,0,0
28476439,"Witchcraft and Folk Belief in the Age of Enlightenment: Scotland, 1670-1740 (Palgrave Historical Studies in Witchcraft and Magic)",Lizanne Henderson,"Henderson, Lizanne",,230294383,9780230000000.0,0,4.6,Palgrave Macmillan,Hardcover,397.0,2016.0,2007.0,2021-01-01,2023-01-01,to-read,to-read (#128),to-read,False,False,False,0,0
18995511,Witchcraft and Second Sight in the Highlands and Islands of Scotland,John Gregorson Campbell,"Campbell, John Gregorson",,,,0,3.51,AlbaCraft Publishing,Kindle Edition,330.0,2012.0,1901.0,2021-01-01,2023-01-01,to-read,to-read (#127),to-read,False,False,False,0,0
55694416,"Scottish Witchcraft A Complete Guide to Authentic Folklore, Spells, and Magickal Tools","Barbara Meiklejohn-Free, Ronald Hutton - foreword","foreword, Barbara Meiklejohn-Free, Ronald Hutton -",,,,0,3.71,Dark Horse Manga,Paperback,272.0,,2007.0,2021-01-01,2023-01-01,to-read,to-read (#126),to-read,False,False,False,0,0
7193174,"Scottish Witchcraft, Charms And Superstitions",James Napier,"Napier, James",,1901163318,9781900000000.0,0,4.67,Oakleaf Books,Paperback,65.0,2001.0,2001.0,2021-01-01,2023-01-01,to-read,to-read (#125),to-read,False,False,False,0,0
4210896,A Source-book of Scottish Witchcraft,Christina Larner,"Larner, Christina","Christopher Hyde Lee, Hugh V. McLachlan",1845300289,9781850000000.0,0,4.0,Zeticula,Paperback,356.0,2005.0,2007.0,2021-01-01,2023-01-01,to-read,to-read (#124),to-read,False,False,False,0,0
18874042,"Witch, Warlock, and Magician Historical Sketches of Magic and Witchcraft in England and Scotland",William Henry Davenport Adams,"Adams, William Henry Davenport",,,,0,3.45,Dark Horse Manga,Kindle Edition,430.0,2012.0,1889.0,2021-01-01,2023-01-01,to-read,to-read (#123),to-read,False,False,False,0,0
1734638,"Visions of Isobel Gowdie: Magic, Witchcraft and Dark Shamanism in Seventeenth-Century Scotland",Emma Wilby,"Wilby, Emma",,1845191803,9781850000000.0,0,4.48,Liverpool University Press,Paperback,538.0,2010.0,2008.0,2021-01-01,2023-01-01,to-read,to-read (#122),to-read,False,False,False,0,0
43626394,"Scottish Witchcraft: A Complete Guide to Authentic Folklore, Spells, and Magickal Tools",Barbara Meiklejohn-Free,"Meiklejohn-Free, Barbara",Ronald Hutton,738760935,9780740000000.0,0,3.46,Llewellyn Publications,Paperback,288.0,2019.0,2007.0,2021-01-01,2023-01-01,to-read,to-read (#121),to-read,False,False,False,0,0
591028,Scottish Witchcraft: The History and Magick of the Picts,Raymond Buckland,"Buckland, Raymond",,875420575,9780880000000.0,0,3.67,Llewellyn Publications,Paperback,256.0,1991.0,1991.0,2021-01-01,2023-01-01,to-read,to-read (#120),to-read,False,False,False,0,0
43626389,The Way of Fire and Ice: The Living Tradition of Norse Paganism,Ryan Smith,"Smith, Ryan",,738760048,9780740000000.0,0,4.11,Llewellyn Publications,Paperback,288.0,2019.0,2007.0,2021-01-01,2023-01-01,to-read,to-read (#119),to-read,False,False,False,0,0
