Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
231561,Musui's Story: The Autobiography of a Tokugawa Samurai,Katsu Kokichi,"Kokichi, Katsu",Teruko Craig,816512566,9780820000000.00,0,3.51,University of Arizona Press,Paperback,174,1988,1843,,19/08/2023,to-read,to-read (#172),to-read,,,,0,0
5040123,A is for Ox: A Short History of the Alphabet,Lyn Davies,"Davies, Lyn",,,,0,3.95,The Folio Society,Hardcover,128,2006,2004,,17/08/2023,to-read,to-read (#171),to-read,,,,0,0
120506071,The Ancient Magus' Bride Vol. 18,Kore Yamazaki,"Yamazaki, Kore",,,,4,4.23,Seven Seas,Paperback,178,2023,2022,27/07/2023,27/07/2023,"fantasy, manga","fantasy (#97), manga (#39)",read,,,,1,0
57917042,"Anatomy (The Anatomy Duology, #1)",Dana Schwartz,"Schwartz, Dana",,,,0,3.84,Wednesday Books,Hardcover,338,2022,2022,,23/07/2023,to-read,to-read (#170),to-read,,,,0,0
61885131,Gwen & Art Are Not in Love,Lex Croucher,"Croucher, Lex",,1250847214,9781250000000.00,0,4.08,Wednesday Books,Hardcover,416,2023,2023,,22/07/2023,to-read,to-read (#169),to-read,,,,0,0
26708763,A Concise History of Korea: From Antiquity to the Present,Michael J. Seth,"Seth, Michael J.",,1442235187,9781440000000.00,0,4.28,Rowman & Littlefield Publishers,ebook,612,2016,2016,,22/07/2023,"non-fiction, currently-reading","non-fiction (#16), currently-reading (#10)",currently-reading,,,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,,,0,4.52,Harper,Hardcover,560,2022,2022,,22/07/2023,to-read,to-read (#168),to-read,,,,0,0
84471891,Os Meus Dias na Livraria Morisaki,Satoshi Yagisawa,"Yagisawa, Satoshi",,9722370472,9789720000000.00,0,3.66,Editorial Presença,Paperback,139,2023,2010,,12/07/2023,to-read,to-read (#167),to-read,,,,0,0
62099460,Um Gato em Tóquio,Nick  Bradley,"Bradley, Nick",,,9789720000000.00,0,3.83,Editorial Presença ,Paperback,312,,2020,,12/07/2023,to-read,to-read (#166),to-read,,,,0,0
60637192,Café de Gatos,Charlie Jonas,"Jonas, Charlie",,9892353498,9789890000000.00,0,3.57,Edições Asa,Paperback,304,2022,2020,,12/07/2023,to-read,to-read (#165),to-read,,,,0,0
61505291,"Malarkoi (Cities of the Weft, #2)",Alex Pheby,"Pheby, Alex",,191311130X,9781910000000.00,0,3.8,Galley Beggar Press,Hardcover,519,2022,2023,,12/07/2023,to-read,to-read (#164),to-read,,,,0,0
58664283,"Mordew (Cities of the Weft, #1)",Alex Pheby,"Pheby, Alex",,1913111121,9781910000000.00,3,3.59,Galley Beggar Press,Paperback,617,2021,2020,15/11/2023,02/07/2023,"fantasy, novel","fantasy (#96), novel (#5)",read,,,,1,0
55781808,"A Senhora do Lago - Parte II (The Witcher, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",Olga Baginska-Shinzato,989773340X,9789900000000.00,5,4.22,Saída de Emergência,Paperback,288,2020,1999,29/06/2023,02/06/2023,"fantasy, novel","fantasy (#95), novel (#4)",read,,,,1,0
61067597,Our Hideous Progeny,C.E. McGill,"McGill, C.E.",,857529048,9780860000000.00,0,3.99,Doubleday,Hardcover,400,2023,2023,,27/05/2023,to-read,to-read (#163),to-read,,,,0,0
2571920,"Berserk, Vol. 22",Kentaro Miura,"Miura, Kentaro",,1593078633,9781590000000.00,5,4.67,Dark Horse Manga,Paperback,224,2008,2001,25/05/2023,25/05/2023,"fantasy, gothic, horror-thriller, manga","fantasy (#93), gothic (#26), horror-thriller (#30), manga (#38)",read,Bloody hell... I daresay Farnesse is almost as bad as Griffith,,,1,0
54591785,"A Senhora do Lago - Parte I (The Witcher, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",Olga Bagińska-Shinzat,,9789900000000.00,4,4.19,Saída de Emergência,Paperback,336,2020,1999,31/05/2023,08/05/2023,"fantasy, novel","fantasy (#92), novel (#3)",read,,,,1,0
2001695,"Berserk, Vol. 21",Kentaro Miura,"Miura, Kentaro",,1593077467,9781590000000.00,5,4.66,Dark Horse Manga,Paperback,240,2008,2001,05/05/2023,04/05/2023,"fantasy, gothic, horror-thriller, manga","fantasy (#85), gothic (#6), horror-thriller (#27), manga (#35)",read,,,,1,0
1898914,"Berserk, Vol. 20",Kentaro Miura,"Miura, Kentaro",,1593077459,9781590000000.00,5,4.64,Dark Horse Manga,Paperback,229,2007,2000,02/05/2023,02/05/2023,"fantasy, gothic, horror-thriller, manga","fantasy (#84), gothic (#5), horror-thriller (#26), manga (#34)",read,,,,1,0
248868,"Berserk, Vol. 16",Kentaro Miura,"Miura, Kentaro",,1593077068,9781590000000.00,5,4.57,Dark Horse Manga,Paperback,234,2007,1998,24/04/2023,26/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#80), horror-thriller (#22), manga (#30), gothic (#10)",read,,,,1,0
248885,"Berserk, Vol. 17",Kentaro Miura,"Miura, Kentaro",,1593077424,9781590000000.00,5,4.6,Dark Horse Manga,Paperback,240,2007,1999,27/04/2023,26/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#81), horror-thriller (#23), manga (#31), gothic (#9)",read,,,,1,0
29538426,"Berserk, Volume 18 (Berserk Meio-Tanko, #18)",Kentaro Miura,"Miura, Kentaro",Drik Sada,,,5,4.85,Panini Comics,Paperback,128,2006,,27/04/2023,26/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#82), horror-thriller (#24), manga (#32), gothic (#8)",read,,,,1,0
708895,"Berserk, Volumen 19 (Berserk, #19)",Kentaro Miura,"Miura, Kentaro",,8496432394,9788500000000.00,5,4.63,MangaLine Ediciones,Paperback,240,2007,2000,27/04/2023,26/04/2023,"fantasy, manga, horror-thriller, gothic","fantasy (#83), manga (#33), horror-thriller (#25), gothic (#7)",read,,,,1,0
248867,"Berserk, Vol. 14",Kentaro Miura,"Miura, Kentaro",,1593075014,9781590000000.00,5,4.57,Dark Horse Manga,Paperback,240,2006,1997,12/04/2023,23/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#78), horror-thriller (#20), manga (#28), gothic (#12)",read,,,,1,0
248869,"Berserk, Vol. 13",Kentaro Miura,"Miura, Kentaro",,1593075006,9781590000000.00,5,4.71,Dark Horse Manga,Paperback,240,2006,1997,11/04/2023,23/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#77), horror-thriller (#19), manga (#27), gothic (#13)",read,,,,1,0
248867,"Berserk, Vol. 14",Kentaro Miura,"Miura, Kentaro",,1593075014,9781590000000.00,5,4.57,Dark Horse Manga,Paperback,240,2006,1997,12/04/2023,23/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#78), horror-thriller (#20), manga (#28), gothic (#12)",read,,,,1,0
248866,"Berserk, Vol. 15",Kentaro Miura,"Miura, Kentaro",Duane Johnson,1593075774,9781590000000.00,5,4.53,Dark Horse Manga,Paperback,240,2007,1998,13/04/2023,23/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#79), horror-thriller (#21), manga (#29), gothic (#11)",read,,,,1,0
